"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"c:\Davide\Università\Magistrale\Secondo Anno\Primo Semestre\Distributed Artificial Intelligence\Progetto\results\temp_netlogo_experiments\Exp1_FundamentalDiagram.nlogo"
"Exp1_FundamentalDiagram"
"04/18/2026 13:11:26:301 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","mean [effective-speed] of turtles","mean-exit-time"
"5","40","2","1","1","10","500","1","0.15400000000000005","146.10377358490567"
"2","40","2","1","1","10","500","0","0.15385","150.41346153846155"
"1","40","2","1","1","10","500","0","0.17395000000000005","148.22115384615384"
"3","40","2","1","1","10","500","0","0.12919999999999998","137.67226890756302"
"4","40","2","1","1","10","500","1","0.13060000000000002","146.21818181818182"
"6","80","2","1","1","10","500","0","0.17007499999999998","145.02392344497608"
"7","80","2","1","1","10","500","1","0.16622500000000007","146.8028846153846"
"8","80","2","1","1","10","500","0","0.17234999999999992","151.73869346733667"
"10","80","2","1","1","10","500","1","0.11762499999999995","152.5068493150685"
"9","80","2","1","1","10","500","1","0.15245000000000003","146.2300469483568"
"12","120","2","1","1","10","500","0","0.16346666666666668","162.77464788732394"
"11","120","2","1","1","10","500","0","0.1691333333333334","159.29268292682926"
"13","120","2","1","1","10","500","0","0.18441666666666662","155.05244755244755"
"17","160","2","1","1","10","500","2","0.16612500000000002","163.0792349726776"
"15","120","2","1","1","10","500","1","0.16596666666666668","159.3881118881119"
"14","120","2","1","1","10","500","0","0.15510000000000002","153.72"
"18","160","2","1","1","10","500","1","0.13539999999999994","170.52162162162162"
"16","160","2","1","1","10","500","1","0.14888750000000012","169.87016574585635"
"20","160","2","1","1","10","500","0","0.15378749999999997","170.87988826815644"
"19","160","2","1","1","10","500","0","0.16872500000000007","173.02906976744185"
"23","200","2","1","1","10","500","1","0.14613999999999996","177.4272517321016"
"21","200","2","1","1","10","500","0","0.16452999999999993","177.1073985680191"
"22","200","2","1","1","10","500","0","0.1598799999999999","177.6903073286052"
"25","200","2","1","1","10","500","0","0.13343","178.84340044742729"
"24","200","2","1","1","10","500","1","0.11834999999999997","179.93555555555557"
"27","240","2","1","1","10","500","3","0.15699166666666667","183.49380165289256"
"30","240","2","1","1","10","500","1","0.17270833333333338","179.8993710691824"
"26","240","2","1","1","10","500","0","0.15759166666666663","183.65010351966873"
"28","240","2","1","1","10","500","0","0.1654583333333333","183.79368421052632"
"29","240","2","1","1","10","500","0","0.1924916666666666","181.79157427937915"
"33","280","2","1","1","10","500","2","0.2007428571428573","180.57198443579767"
"32","280","2","1","1","10","500","1","0.2025571428571429","188.5261044176707"
"31","280","2","1","1","10","500","0","0.22564999999999996","191.1134903640257"
"37","320","2","1","1","10","500","1","0.22563125000000012","187.45454545454547"
"38","320","2","1","1","10","500","0","0.19637500000000002","196.1977818853974"
"34","280","2","1","1","10","500","1","0.19440714285714303","189.03937007874015"
"35","280","2","1","1","10","500","0","0.21762142857142844","188.71779141104295"
"40","320","2","1","1","10","500","1","0.2356437500000003","188.53112840466926"
"41","360","2","1","1","10","500","0","0.21978888888888887","198.6559714795009"
"36","320","2","1","1","10","500","2","0.22499375000000005","186.21455938697318"
"44","360","2","1","1","10","500","1","0.2144944444444445","202.26017699115044"
"39","320","2","1","1","10","500","0","0.21714999999999995","198.11992263056092"
"45","360","2","1","1","10","500","1","0.2370444444444444","193.25678119349004"
"47","400","2","1","1","10","500","0","0.18803000000000009","218.5858085808581"
"42","360","2","1","1","10","500","1","0.21161666666666676","200.40901213171577"
"43","360","2","1","1","10","500","3","0.22014999999999998","194.9633507853403"
"50","400","2","1","1","10","500","1","0.23934000000000033","200.31076388888889"
"49","400","2","1","1","10","500","0","0.2084","213.37478705281092"
"46","400","2","1","1","10","500","0","0.18933000000000008","225.55143338954468"
"48","400","2","1","1","10","500","0","0.21647499999999983","214.0948275862069"
