"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"c:\Davide\Università\Magistrale\Secondo Anno\Primo Semestre\Distributed Artificial Intelligence\Progetto\results\temp_netlogo_experiments\Exp2_SelfOrganization.nlogo"
"Exp2_SelfOrganization"
"04/18/2026 13:11:26:236 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","Kd","Ks","Kr","roundabout-radius","[step]","phi-max","phi-stabilization-tick"
"1","160","0","1","1","10","1000","1","0"
"4","160","0","1","1","10","1000","1","0"
"3","160","0","1","1","10","1000","1","0"
"2","160","0","1","1","10","1000","1","0"
"6","160","0.5","1","1","10","1000","1","0"
"5","160","0","1","1","10","1000","1","0"
"11","160","1","1","1","10","1000","1","0"
"12","160","1","1","1","10","1000","1","0"
"8","160","0.5","1","1","10","1000","1","0"
"7","160","0.5","1","1","10","1000","1","0"
"9","160","0.5","1","1","10","1000","1","0"
"10","160","0.5","1","1","10","1000","1","0"
"13","160","1","1","1","10","1000","1","0"
"14","160","1","1","1","10","1000","1","0"
"19","160","2","1","1","10","1000","1","0"
"15","160","1","1","1","10","1000","1","0"
"16","160","2","1","1","10","1000","1","0"
"20","160","2","1","1","10","1000","1","0"
"21","160","4","1","1","10","1000","1","0"
"17","160","2","1","1","10","1000","1","0"
"18","160","2","1","1","10","1000","1","0"
"25","160","4","1","1","10","1000","1","0"
"24","160","4","1","1","10","1000","1","0"
"28","160","8","1","1","10","1000","1","0"
"29","160","8","1","1","10","1000","1","0"
"23","160","4","1","1","10","1000","1","0"
"22","160","4","1","1","10","1000","1","0"
"26","160","8","1","1","10","1000","1","0"
"27","160","8","1","1","10","1000","1","0"
"30","160","8","1","1","10","1000","1","0"
