"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"c:\Davide\Università\Magistrale\Secondo Anno\Primo Semestre\Distributed Artificial Intelligence\Progetto\results\temp_netlogo_experiments\Exp3_GeometryOptimization.nlogo"
"Exp3_GeometryOptimization"
"04/18/2026 13:11:27:363 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","Kd","Ks","Kr","roundabout-radius","[step]","throughput-total","mean-exit-time"
"1","240","2","1","1","5","1000","1090","194.94838709677418"
"6","240","2","1","1","8","1000","1001","213.19019019019018"
"5","240","2","1","1","5","1000","1096","196.18198529411765"
"3","240","2","1","1","5","1000","1062","195.43572778827976"
"4","240","2","1","1","5","1000","1053","206.55958055290753"
"2","240","2","1","1","5","1000","1063","198.99432355723746"
"12","240","2","1","1","10","1000","941","226.01067235859125"
"7","240","2","1","1","8","1000","980","216.10472279260782"
"8","240","2","1","1","8","1000","1008","210.4975074775673"
"9","240","2","1","1","8","1000","1000","206.31262525050101"
"11","240","2","1","1","10","1000","946","215.62142099681867"
"10","240","2","1","1","8","1000","979","216.28923076923076"
"13","240","2","1","1","10","1000","939","218.96485623003196"
"19","240","2","1","1","12","1000","887","230.90919409761634"
"14","240","2","1","1","10","1000","936","218.33118971061094"
"15","240","2","1","1","10","1000","965","218.64828303850157"
"16","240","2","1","1","12","1000","856","232.65140845070422"
"20","240","2","1","1","12","1000","898","229.3751399776036"
"17","240","2","1","1","12","1000","902","228.95550611790878"
"18","240","2","1","1","12","1000","902","224.5706340378198"
