"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"c:\Davide\Università\Magistrale\Secondo Anno\Primo Semestre\Distributed Artificial Intelligence\Progetto\results\temp_netlogo_experiments\Exp4_RepulsionImpact.nlogo"
"Exp4_RepulsionImpact"
"04/18/2026 13:11:32:757 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","Kd","Ks","Kr","roundabout-radius","[step]","mean [effective-speed] of turtles","mean-exit-time","throughput-per-tick"
"3","160","2","1","0.5","10","1000","0.082725","213.8454404945904","2"
"5","160","2","1","0.5","10","1000","0.08413124999999998","203.08554572271387","0"
"1","160","2","1","0.5","10","1000","0.08325624999999999","203.37426035502958","0"
"6","160","2","1","1","10","1000","0.07721249999999998","195.58864265927977","1"
"2","160","2","1","0.5","10","1000","0.08483124999999994","208.66717095310136","0"
"4","160","2","1","0.5","10","1000","0.074625","208.3985294117647","0"
"9","160","2","1","1","10","1000","0.07941874999999995","197.01117318435755","0"
"8","160","2","1","1","10","1000","0.08848125000000003","194.7900709219858","0"
"11","160","2","1","2","10","1000","0.076825","178.67621419676215","3"
"10","160","2","1","1","10","1000","0.08586874999999998","194.54558204768583","0"
"12","160","2","1","2","10","1000","0.08099375","181.82074263764406","1"
"7","160","2","1","1","10","1000","0.07275000000000001","197.42857142857142","0"
"14","160","2","1","2","10","1000","0.06893749999999998","186.43489583333334","0"
"13","160","2","1","2","10","1000","0.09588750000000007","176.13994910941477","0"
"15","160","2","1","2","10","1000","0.07020000000000004","182.8518987341772","0"
"16","160","2","1","5","10","1000","0.09288749999999998","172.04","1"
"17","160","2","1","5","10","1000","0.08219375000000001","172.09796893667863","1"
"19","160","2","1","5","10","1000","0.084425","170.05437352245863","1"
"20","160","2","1","5","10","1000","0.1003125","172.671970624235","1"
"18","160","2","1","5","10","1000","0.08335000000000002","177.3358024691358","2"
