"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"results\temp_netlogo_experiments\Exp5_SocialTypes.nlogo"
"Exp5_SocialTypes"
"04/20/2026 16:28:48:988 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","40"
"[run number]","num-pedestrians","enable-social-types?","Kd","Ks","Kr","roundabout-radius","[step]","throughput-per-tick","mean-exit-time","mean [effective-speed] of turtles"
"3","200","true","2","1","1","10","1000","0","364.44262295081967","0.6562799999999995"
"4","200","true","2","1","1","10","1000","0","431.40816326530614","0.5963499999999994"
"6","200","false","2","1","1","10","1000","0","373.7012987012987","0.6436849999999993"
"1","200","true","2","1","1","10","1000","0","352.2894736842105","0.6545949999999998"
"5","200","true","2","1","1","10","1000","0","434.8","0.6458800000000002"
"2","200","true","2","1","1","10","1000","0","344.2133333333333","0.6454350000000001"
"7","200","false","2","1","1","10","1000","0","379.72151898734177","0.6355599999999998"
"8","200","false","2","1","1","10","1000","0","368.8641975308642","0.6602"
"10","200","false","2","1","1","10","1000","0","360.97435897435895","0.6573299999999999"
"9","200","false","2","1","1","10","1000","0","361.1807228915663","0.625995"
